Company,Rank,Year,Revenue (in millions),Profit (in millions)
Amsouth Bancorporation,444,2001,3739.9,
"Kinder Morgan, Inc.",445,2001,3730.9,
Westvaco Corporation,446,2001,3719.9,
"Fleetwood Enterprises, Inc.",447,2001,3713,
Administaff Inc,448,2001,3708.5,
"Darden Restaurants, Inc.",449,2001,3701.3,
Pinnacle West Capital Corporation,450,2001,3690.2,
"MicroAge, Inc.",451,2001,3682.8,
"Caremark Rx, Inc.",452,2001,3451.5,
Hormel Foods Corporation,452,2001,3675.1,
Ball Corporation,453,2001,3664.7,
"D.R. Horton, Inc.",454,2001,3653.7,
Amgen Inc.,455,2001,3629.4,
"Becton, Dickinson and Company",456,2001,3618.3,
Yellow Corporation,457,2001,3588.1,
Group 1 Automotive Inc.,458,2001,3586.1,
"Reliance Group Holdings, Inc.",459,2001,3562.3,
"Jabil Circuit, Inc.",460,2001,3558.3,
Northern Trust Corporation,462,2001,3548.1,
"Trans World Airlines, Inc.",463,2001,3538.3,
Interstate Bakeries Corporation,464,2001,3522.9,
Anixter International Inc.,465,2001,3514.4,
"Cox Communications, Inc.",466,2001,3506.9,
"Owens & Minor, Inc.",467,2001,3503.6,
The New York Times Company,468,2001,3489.5,
Cooper Tire & Rubber Company,469,2001,3472.4,
Tenneco Automotive Inc.,470,2001,3471.2,
"Emcor Group, Inc.",471,2001,3460.2,
Hilton Hotels Corporation,472,2001,3451,
"Puget Energy, Inc.",473,2001,3441.7,
SCANA Corporation,474,2001,3433,
Quest Diagnostics Incorporated,475,2001,3421.2,
Jacobs Engineering Group Inc.,476,2001,3418.9,
Aid Association for Lutherans,477,2001,3417.2,
Universal Corporation,478,2001,3402,
"Tellabs, Inc.",479,2001,3387.4,
Wisconsin Energy Corporation,480,2001,3354.7,
Steelcase Inc.,481,2001,3316.1,
"Hughes Supply, Inc.",482,2001,3310.2,
OGE Energy Corp,483,2001,3298.7,
Allmerica Financial Corporation,484,2001,3295.6,
"Borders Group, Inc.",485,2001,3294.4,
ADC Telecommunications Inc.,486,2001,3287.9,
"Western Gas Resources, Inc.",487,2001,3282,
Consolidated Stores Corporation,488,2001,3277.1,
Airborne Freight,489,2001,3276,
"Armstrong Holdings, Inc.",490,2001,3271.7,
"Mohawk Industries, Inc.",491,2001,3255.8,
"Charter Communications, Inc.",492,2001,3249.2,
"Lennox International, Inc.",493,2001,3247.4,
Summit Bancorp,494,2001,3245,
Jefferson-Pilot Corporation,495,2001,3237.5,
MGM Mirage,496,2001,3232.6,
Lutheran Brotherhood,497,2001,3220.6,
Pennzoil-Quaker State Company,498,2001,3216.3,
Knight-Ridder Inc.,499,2001,3211.8,
Qualcomm Incorporated,500,2001,3196.8,
"Wal-Mart Stores, Inc.",1,2002,219812,
Exxon Mobil Corporation,2,2002,191581,
General Motors Corporation,3,2002,177260,
Ford Motor Company,4,2002,162412,
Enron,5,2002,138718,
General Electric Company,6,2002,125913,
"Citigroup, Inc.",7,2002,112022,
ChevronTexaco Corporation,8,2002,99699,
International Business Machines Corporation,9,2002,85866,
Philip Morris Companies Inc.,10,2002,72944,
Verizon Communications Inc.,11,2002,67190,
"American International Group,Inc.",12,2002,62402,
"American Electric Power Company, Inc.",13,2002,61257,
Duke Energy Corporation,14,2002,59503,
AT&T Corp.,15,2002,59142,
The Boeing Company,16,2002,58198,
El Paso Corporation,17,2002,57475,
"The Home Depot, Inc.",18,2002,53553,
Bank of America Corporation,19,2002,52641,
Fannie Mae,20,2002,50803,
J.P. Morgan Chase & Co.,21,2002,50429,
The Kroger Company,22,2002,50098,
"Cardinal Health, Inc.",23,2002,47947.6,
"Merck & Co., Inc.",24,2002,47715.7,
State Farm Insurance Cos.,25,2002,46705.2,
"Reliant Energy, Incorporated",26,2002,46225.8,
SBC Communications Inc.,27,2002,45908,
Hewlett-Packard Company,28,2002,45226,
Morgan Stanley Dean Witter & Co.,29,2002,43727,
McKesson Corporation,31,2002,42010,
Sears Roebuck and Company,32,2002,41078,
"Aquila, Inc.",33,2002,40376.8,
Target Corporation,34,2002,39888,
The Procter & Gamble Company,35,2002,39244,
"Merrill Lynch & Co., Inc.",36,2002,38793,
AOL Time Warner,37,2002,38234,
Dynegy Inc.,38,2002,37931,
Berkshire Hathaway Inc.,39,2002,37668,
Kmart Corporation,40,2002,36910,
Freddie Mac,41,2002,35523,
"WorldCom, Inc.",42,2002,35179,
Marathon Oil Corporation,43,2002,35041,
Costco Wholesale Corporation,44,2002,34797,
Safeway Inc.,45,2002,34301,
Compaq Computer Corporation,46,2002,33554,
Johnson & Johnson,47,2002,33004,
Conoco Inc.,48,2002,32795,
Pfizer Inc.,49,2002,32259,
"J.C. Penney Company, Inc.",50,2002,32004,
MetLife Inc.,51,2002,31928,
Mirant Corp.,52,2002,31502,
Dell Computer Corporation,53,2002,31168,
"Goldman Sachs Group, Inc.",54,2002,31138,
"United Parcel Service, Inc.",55,2002,30646,
"Motorola, Inc.",56,2002,30004,
The Allstate Corporation,57,2002,28865,
TXU Corp.,58,2002,27927,
United Technologies Corporation,59,2002,27897,
The Dow Chemical Company,60,2002,27805,
"ConAgra Foods, Incorporated",61,2002,27194.2,
"Prudential Financial, Inc.",62,2002,27177,
"PepsiCo, Inc.",63,2002,26935,
Wells Fargo & Co.,64,2002,26891,
Intel,65,2002,26539,
International Paper Company,66,2002,26363,
Delphi Corporation,67,2002,26088,
Sprint Corporation,68,2002,26071,
New York Life Insurance Company,69,2002,25678.2,
E.I. du Pont de Nemours,70,2002,25370,
Georgia-Pacific Group,71,2002,25309,
Microsoft Corporation,72,2002,25296,
The Walt Disney Company,73,2002,25269,
Aetna,74,2002,25190.8,
"Ingram Micro, Inc.",75,2002,25186.9,
Lucent Technologies Inc.,76,2002,25132,
Lockheed Martin Corporation,77,2002,24793,
Walgreen Co.,78,2002,24623,
Bank One Corporation,79,2002,24527,
Teachers Insurance and Annuity Association College Retiremen,80,2002,24230.6,
Phillips Petroleum Company,81,2002,24189,
Honeywell International Inc.,83,2002,23652,
"UnitedHealth Group, Incorporated",84,2002,23454,
Viacom Inc.,85,2002,23222.8,
Supervalu Inc.,86,2002,23194.3,
PG&E Corporation,87,2002,22959,
"Alcoa, Inc.",88,2002,22859,
American Express Company,89,2002,22582,
Wachovia Corp.,90,2002,22396,
"Lehman Brothers Holdings, Inc.",91,2002,22392,
"Cisco Systems, Inc.",92,2002,22293,
CVS Corporation,93,2002,22241.4,
BellSouth Corporation,94,2002,22111.1,
Sysco Corporation,95,2002,21784.5,
Bristol-Myers Squibb Company,96,2002,21717,
Electronic Data Systems Corporation,97,2002,21543,
"Caterpillar, Inc.",98,2002,20450,
The Coca-Cola Company,99,2002,20092,
Archer Daniels Midland Company,100,2002,20051.4,
"AutoNation, Inc.",101,2002,19989.3,
Qwest Communications International Inc.,102,2002,19743,
FedEx Corporation,103,2002,19629,
Massachusetts Mutual Life Insurance Company,104,2002,19339.6,
Pharmacia Corporation,105,2002,19299,
FleetBoston Financial Corporation,106,2002,19190,
CIGNA Corporation,107,2002,19115,
AMR Corporation,108,2002,18963,
Loews Corporation,109,2002,18799.1,
Solectron Corporation,110,2002,18692.3,
"Johnson Controls, Inc.",111,2002,18427.2,
"Sun Microsystems, Inc.",112,2002,18250,
"HCA, Inc",113,2002,17953,
Visteon Corporation,114,2002,17843,
Sara Lee Corporation,115,2002,17747,
"Washington Mutual, Inc.",116,2002,17692,
Tech Data Corporation,117,2002,17197.5,
"Federated Department Stores, Inc.",118,2002,16895,
Raytheon Company,119,2002,16867,
Xerox Corporation,120,2002,16502,
U.S. Bancorp,121,2002,16443,
TRW Inc.,122,2002,16383,
Abbott Laboratories,123,2002,16285.2,
Northwestern Mutual Life Insurance Company,124,2002,16211.8,
UAL Corporation,125,2002,16138,
Minnesota Mining and Manufacturing Company,126,2002,16079,
AmerisourceBergen Corp.,127,2002,15822.6,
"Coca-Cola Enterprises, Inc.",128,2002,15700,
"Fleming Companies, Inc.",129,2002,15627.7,
Emerson Electric Co.,130,2002,15479.6,
Rite Aid Corporation,132,2002,15296.6,
"Publix Super Markets, Inc.",133,2002,15284.2,
Hartford Financial Services Group Inc.,134,2002,15147,
Exelon Corporation,135,2002,15140,
Nationwide Mutual Insurance Co.,136,2002,15118.3,
Xcel Energy Inc.,137,2002,15028.2,
Valero Energy Corp,138,2002,14988.3,
Best Buy Co. Inc.,139,2002,14870,
Weyerhaeuser Company,140,2002,14545,
Kimberly-Clark Corporation,141,2002,14524.4,
Liberty Mutual Insurance Group,142,2002,14256,
The May Department Stores Company,143,2002,14175,
The Goodyear Tire & Rubber Company and Subsidiaries,144,2002,14147.2,
Wyeth,145,2002,14128.5,
Occidental Petroleum Corporation,146,2002,14126,
"Household International, Inc.",147,2002,13915.7,
"Delta Air Lines, Inc.",148,2002,13879,
"The Gap, Inc.",149,2002,13847.9,
Lear Corporation,150,2002,13624.7,
Northrop Grumman Corporation,151,2002,13558,
Amerada Hess Corporation,152,2002,13413,
Halliburton Company,153,2002,13405,
Deere & Company,154,2002,13292.9,
Eastman Kodak Company,155,2002,13234,
CMS Energy Corporation,156,2002,12977,
"Circuit City Stores, Inc.",157,2002,12959,
CInergy Corp.,158,2002,12922.5,
"Anheuser-Busch Companies, Inc.",159,2002,12911.5,
"Winn-Dixie Stores, Inc.",160,2002,12903.4,
"Avnet, Inc.",161,2002,12814,
WellPoint Health Networks Inc.,162,2002,12428.6,
"Sunoco, Inc.",163,2002,12402,
Textron Inc.,164,2002,12321,
General Dynamics Corporation,166,2002,12163,
Tenet Healthcare Corporation,167,2002,12053,
Union Pacific Corporation,168,2002,11973,
PacifiCare Health Systems Inc.,169,2002,11844,
"Farmland Industries, Inc.",170,2002,11763.4,
Eli Lilly and Company,171,2002,11542.5,
"Waste Management, Inc.",172,2002,11322,
"Office Depot, Inc.",173,2002,11154.1,
"The Williams Companies, Inc.",174,2002,11055.3,
Edison International,175,2002,11019,
Oracle Corporation,176,2002,10859.7,
"Tyson Foods, Inc.",177,2002,10750.9,
"Staples, Inc.",178,2002,10744.4,
"The TJX Companies, Inc.",179,2002,10709,
"Dominion Resources, Inc.",180,2002,10558,
Computer Sciences Corporation,181,2002,10524,
Manpower Inc.,182,2002,10483.8,
Dana Corporation,183,2002,10469,
"Anthem,Inc.",184,2002,10444.7,
Allegheny Energy Incorporated,185,2002,10378.9,
Whirlpool Corporation,186,2002,10343,
Humana Inc.,187,2002,10194.9,
Southern Company,188,2002,10155,
"Marriott International, Inc.",189,2002,10152,
MBNA Corporation,190,2002,10144.7,
"Arrow Electronics, Inc",191,2002,10127.6,
Health Net Inc.,192,2002,10064.5,
"Marsh & McLennan Companies, Inc.",193,2002,9943,
Northwest Airlines Corporation,194,2002,9905,
"Public Service Enterprise Group, Inc.",195,2002,9815,
Schering-Plough Corporation,196,2002,9802,
"Illinois Tool Works, Inc.",197,2002,9697.9,
Comcast Corporation,198,2002,9674.2,
"Consolidated Edison, Inc.",199,2002,9634,
Entergy Corporation,200,2002,9620.9,
AES Corporation,201,2002,9614,
"AFLAC, Inc.",202,2002,9598,
NiSource Inc.,203,2002,9565,
"Nike, Inc.",204,2002,9488.8,
UnumProvident Corporation,205,2002,9435.4,
H.J. Heinz Company,206,2002,9430.4,
Colgate-Palmolive Company,207,2002,9427.8,
"The Limited, Inc.",208,2002,9363,
John Hancock Financial Services Inc.,209,2002,9361.3,
"Express Scripts, Inc.",210,2002,9328.8,
Burlington Northern Santa Fe Corp.,211,2002,9208,
Agilent Technologies Inc.,212,2002,9161,
National City Corporation,213,2002,9092.6,
Fluor Corporation,214,2002,8972.2,
United Services Automobile Association,215,2002,8970.7,
"Continental Airlines, Inc.",216,2002,8969,
Cendant Corporation,217,2002,8950,
"The St. Paul Companies, Inc.",218,2002,8943,
Guardian Life Insurance Co. of America,219,2002,8906.9,
Kellogg Company,220,2002,8853.3,
"Principal Financial Group, Inc.",221,2002,8817.5,
"SCI Systems, Inc.",222,2002,8713.9,
"The Bear Stearns Companies, Inc.",223,2002,8701,
"R. J. Reynolds Tobacco Holdings, Inc.",224,2002,8585,
Ashland Inc.,225,2002,8547,
"FPL Group, Inc.",226,2002,8475,
"Progress Energy, Inc.",227,2002,8461.5,
"The Pepsi Bottling Group, Inc.",228,2002,8443,
"SunTrust Banks, Inc.",230,2002,8388,
Smurfit-Stone Container Corporation,231,2002,8377,
Anadarko Petroleum Corp.,232,2002,8369,
Masco Corporation,233,2002,8358,
"US Airways Group, Inc.",234,2002,8288,
Genuine Parts Company,235,2002,8220.7,
Texas Instruments Incorporated,236,2002,8201,
"PPG Industries, Inc.",237,2002,8169,
CSX,238,2002,8110,
"Conseco, Inc.",239,2002,8108,
Gillette Company,240,2002,8084,
Sempra Energy,241,2002,8029,
"Clear Channel Communications, Inc.",243,2002,7970,
Cenex Harvest States Cooperatives,244,2002,7875.2,
DTE Energy Company,245,2002,7848.6,
Aramark Corporation,246,2002,7788.7,
Aon Corporation,247,2002,7676,
Baxter International Inc.,248,2002,7663,
Chubb Corporation,249,2002,7599.6,
ALLTEL Corporation,250,2002,7598.9,
Calpine Corporation,251,2002,7590,
"Nextel Communications, Inc.",252,2002,7574,
FirstEnergy Corporation,253,2002,7488.7,
The Progressive Corporation,254,2002,7488.2,
"American Standard Companies, Inc.",255,2002,7465,
Boise Cascade Corporation,256,2002,7422.2,
KeyCorp,257,2002,7352,
"Applied Materials, Inc.",258,2002,7343.2,
Eaton Corporation,259,2002,7299,
Capital One Financial Corporation,260,2002,7254.3,
"The Bank of New York Company, Inc.",261,2002,7192,
"Crown Cork & Seal Company, Inc.",262,2002,7187,
EMC Corporation,263,2002,7090.6,
"General Mills, Inc.",264,2002,7077.7,
"AdvancePCS, Inc.",265,2002,7024.3,
"Automatic Data Processing, Inc.",266,2002,7017.6,
Safeco Corporation,267,2002,6953,
"Tricon Global Restaurants, Inc.",267,2002,6953,
PNC Financial Services Group Inc.,269,2002,6921,
Newell Rubbermaid Inc.,270,2002,6909.3,
Keyspan Corporation,271,2002,6899.9,
Omnicom Group Inc.,272,2002,6889.4,
Northeast Utilities,273,2002,6873.8,
"Plains All American Pipeline, L.P.",274,2002,6868.2,
"ArvinMeritor, Inc.",275,2002,6805,
ONEOK Inc.,276,2002,6803.1,
Avaya Inc.,277,2002,6793,
Unocal Corporation,278,2002,6752,
"Interpublic Group of Companies, Inc.",279,2002,6726.8,
Navistar International Corporation,280,2002,6722,
Centex Corporation,281,2002,6710.7,
Campbell Soup Co.,282,2002,6664,
Fifth Third Bancorp,283,2002,6506.3,
First Data Corporation,284,2002,6450.8,
Premcor Inc.,285,2002,6417.5,
Lincoln National Corporation,286,2002,6411.4,
"Gannett Co., Inc.",287,2002,6344.2,
"Sonic Automotive, Inc.",288,2002,6337.4,
Corning Inc.,289,2002,6272,
Dean Foods Company,290,2002,6230.1,
BB&T Corp.,291,2002,6228.2,
"United Auto Group, Inc.",292,2002,6220.7,
Norfolk Southern Corporation,293,2002,6170,
Science Applications International Corporation,294,2002,6162.5,
Paccar Inc.,295,2002,6088.8,
"Gateway, Inc.",296,2002,6079.5,
"Saks, Incorporated",297,2002,6070.6,
Lennar Corp.,298,2002,6029.3,
Avista Corp.,299,2002,6021.3,
Unisys Corporation,300,2002,6018.1,
"Owens-Illinois, Inc.",301,2002,6013.3,
"Avon Products, Inc.",302,2002,5994.5,
Parker-Hannifin Corporation,303,2002,5979.6,
NCR Corporation,304,2002,5917,
Smithfield Foods,305,2002,5899.9,
Rohm and Haas Company,306,2002,5896,
Conectiv,307,2002,5835.7,
ServiceMaster,308,2002,5810.6,
PPL Corporation,309,2002,5725,
"Air Products & Chemicals, Inc",310,2002,5722.7,
Cummins,311,2002,5681,
"Idacorp, Inc.",312,2002,5648,
State Street Corporation,313,2002,5637,
"Nortstrom, Inc.",314,2002,5634.1,
"Caremark Rx, Inc.",315,2002,5614,
Allied Waste Industries,316,2002,5565.3,
Southwest Airlines Company,317,2002,5555.2,
"Medtronic, Inc.",318,2002,5551.8,
Providian Financial Corporation,319,2002,5529.9,
VF Corporation,320,2002,5518.8,
Federal-Mogul Corporation,321,2002,5457,
Eastman Chemical Company,322,2002,5384,
Baker Hughes Incorporated,323,2002,5382.2,
"Pulte Homes, Inc.",324,2002,5381.9,
"Apple Computer, Inc.",325,2002,5363,
Dollar General Corporation,326,2002,5322.9,
R.R. Donnelley & Sons Company,328,2002,5297.8,
"USA Networks, Inc.",329,2002,5284.8,
The Charles Schwab Corporation,330,2002,5281,
"Fortune Brands, Inc.",331,2002,5279.7,
"Ikon Office Solutions, Inc.",332,2002,5273.5,
Tribune Company,333,2002,5253.4,
TransMontaigne Inc.,334,2002,5223.2,
Tesoro Petroleum Corporation,335,2002,5217.8,
"Praxair, Inc.",336,2002,5158,
American Family Mutual Insurance Company,337,2002,5109,
Engelhard Corporation,338,2002,5096.9,
The Sherwin-Williams Company,339,2002,5066,
Goodrich Corporation,340,2002,5013.4,
"Ryder System, Inc.",341,2002,5006.1,
CNF Inc.,342,2002,4873.8,
Barnes & Noble Inc.,343,2002,4870.4,
"Graybar Electric Company, Inc.",344,2002,4828.5,
"Countrywide Credit Industries, Inc.",345,2002,4819,
"AutoZone, Inc.",346,2002,4818.2,
"Mattel, Inc.",347,2002,4804.1,
RadioShack Corporation,348,2002,4775.7,
Owens Corning,349,2002,4762,
"W.W. Grainger, Inc.",350,2002,4754.3,
"Adams Resources & Energy, Inc.",351,2002,4717.2,
Pitney Bowes Inc.,352,2002,4690.5,
The LTV Corporation,352,2002,4934,
"Dole Food Company, Inc.",353,2002,4688.3,
"ITT Industries, Inc.",354,2002,4675.7,
KB Home,355,2002,4646.7,
"The McGraw-Hill Companies, Inc.",356,2002,4645.5,
"OfficeMax, Inc.",357,2002,4636,
Park Place Entertainment Corporation,358,2002,4631,
Sierra Pacific Resources,359,2002,4611.7,
The Est_e Lauder Companies Inc.,360,2002,4608.1,
Maytag Corporation,361,2002,4563.6,
Hershey Foods Corporation,362,2002,4557.2,
Pinnacle West Capital Corporation,363,2002,4551.4,
Dover Corporation,364,2002,4528,
"Micron Technology, Inc.",365,2002,4515.7,
Ameren Corporation,366,2002,4505.9,
Murphy Oil Corporation,367,2002,4478.5,
"D.R. Horton, Inc.",368,2002,4455.5,
"Willamette Industries, Inc.",369,2002,4453.9,
Quantum Corporation,370,2002,4452.3,
Golden West Financial Corporation,371,2002,4446.4,
"Oxford Health Plans, Inc.",372,2002,4421.2,
Cablevision Systems Corp.,373,2002,4404.5,
HEALTHSOUTH Corporation,374,2002,4380.5,
"Foot Locker, Inc.",375,2002,4379,
Administaff Inc,376,2002,4373.2,
The Black & Decker Corporation,377,2002,4333.1,
"Jabil Circuit, Inc.",378,2002,4330.7,
Mutual of Omaha Insurance Companies,379,2002,4327.6,
Rockwell Automation Inc.,380,2002,4323,
Brunswick Corporation,380,2002,4507.2,
Golden State Bancorp,381,2002,4319.6,
Longs Drug Stores Corporation,382,2002,4304.7,
Levi Strauss & Company,383,2002,4258.7,
"Kelly Services, Inc.",384,2002,4256.9,
NorthWestern Corporation,385,2002,4237.8,
"Cooper Industries, Incorporated",386,2002,4209.5,
"Computer Associates International, Inc.",387,2002,4198,
Comerica Incorporated,388,2002,4196.9,
Temple-Inland Inc.,389,2002,4172,
"Lexmark International, Inc.",390,2002,4142.8,
Nucor Corporation,391,2002,4139.2,
Hormel Foods Corporation,392,2002,4124.1,
SPX Corporation,393,2002,4114.3,
"Leggett & Platt, Incorporated",394,2002,4113.8,
Nash Finch Company,395,2002,4107.4,
"Jones Apparel Group, Inc.",396,2002,4073.1,
"Cox Communications, Inc.",397,2002,4059.2,
Mellon Financial Corp.,398,2002,4055,
co,399,2002,4054,
Bethlehem Steel Corporation,399,2002,4196.6,
Regions Financial Corporation,400,2002,4037.5,
"Darden Restaurants, Inc.",401,2002,4021.2,
"Pathmark Stores, Inc.",402,2002,4016.8,
Amgen,403,2002,4015.7,
MGM Mirage,404,2002,4009.6,
The Pittston Company,405,2002,4008.2,
Phelps Dodge Corporation,406,2002,4002.4,
Echostar Communications Corporation,407,2002,4001.1,
Group 1 Automotive Inc.,408,2002,3996.4,
AK Steel Holding Corporation,409,2002,3994.1,
"Autoliv, Inc.",410,2002,3991,
MeadWestvaco Corporation,411,2002,3983.6,
Encompass Services Corporation,412,2002,3980.5,
"Starwood Hotels & Resorts Worldwide, Inc.",413,2002,3967,
"CDW Computer Centers, Inc.",414,2002,3961.5,
Jacobs Engineering Group Inc.,415,2002,3957,
"Charter Communications, Inc.",417,2002,3953.1,
"American Financial Group, Inc.",418,2002,3947.6,
York International Corporation,419,2002,3930.7,
Wisconsin Energy Corporation,420,2002,3928.5,
"Constellation Energy Group, Inc.",421,2002,3928,
United Stationers Inc.,422,2002,3925.9,
The Clorox Company,423,2002,3903,
"Advanced Micro Devices, Inc.",424,2002,3891.8,
Steelcase Inc.,425,2002,3885.8,
"Fidelity National Financial, Inc.",426,2002,3874.1,
"ITT Industries, Inc.",427,2002,3871,
FMC Corporation,428,2002,3870.9,
"Owens & Minor, Inc.",429,2002,3815,
Maxtor Corporation,431,2002,3797,
Danaher Corporation,432,2002,3782.4,
Energy East Corporation,433,2002,3759.8,
NTL Incorporated,434,2002,3754.9,
"Becton, Dickinson and Company",435,2002,3754.3,
Host Marriott Corporation,436,2002,3754,
The First American Corporation,437,2002,3750.7,
SouthTrust Corporation,438,2002,3741.8,
Pacific LifeCorp,439,2002,3734.5,
Avery Dennison Corporation,440,2002,3709,
Ball Corporation,441,2002,3686.1,
"Family Dollar Stores, Inc.",443,2002,3665.4,
"Wesco International, Inc.",444,2002,3658,
"Ames Department Stores, Inc.",445,2002,3648.2,
Kerr-McGee,446,2002,3638,
Quest Diagnostics Incorporated,447,2002,3627.8,
"Smith International, Inc.",448,2002,3551.2,
"Spartan Stores, Inc.",449,2002,3519.5,
"USA Education, Inc.",450,2002,3515.1,
Interstate Bakeries Corporation,451,2002,3496.5,
"Caremark Rx, Inc.",452,2002,3451.5,
SCANA Corporation,453,2002,3451,
"Liz Claiborne, Inc.",454,2002,3448.5,
"Mohawk Industries, Inc.",455,2002,3445.9,
Adelphia Communications Corporation,456,2002,3434.8,
"Big Lots, Inc.",457,2002,3433.3,
"Core-Mark International, Inc.",458,2002,3425,
"Emcor Group, Inc.",459,2002,3419.9,
Foster Wheeler Ltd.,460,2002,3396.8,
"Borders Group, Inc.",461,2002,3387.9,
"Shopko Stores, Inc.",462,2002,3387,
AmSouth Bancorporation,463,2002,3382.8,
"Puget Energy, Inc.",464,2002,3374,
Tenneco Automotive Inc.,465,2002,3364,
"Harley-Davidson, Inc.",466,2002,3363.4,
"Western Gas Resources, Inc.",467,2002,3355,
Jefferson-Pilot Corporation,469,2002,3332.3,
Burlington Resources Inc.,470,2002,3326,
Allmerica Financial Corporation,471,2002,3311.8,
USG Corporation,472,2002,3296,
Yellow Corporation,473,2002,3276.7,
Northern Trust Corporation,474,2002,3261.5,
Aid Association for Lutherans,475,2002,3257.8,
Performance Food Group Company,476,2002,3237.2,
JDS Uniphase Corporation,477,2002,3232.8,
Lyondell Chemical Company,478,2002,3226,
Airborne Inc.,479,2002,3211.1,
"Comdisco, Inc.",480,2002,3202,
NSTAR,481,2002,3191.8,
OGE Energy Corp,482,2002,3182.4,
"Staff Leasing, Inc.",483,2002,3180,
"Enterprise Products Partners,, L.P.",484,2002,3179.7,
"PepsiAmericas, Inc.",485,2002,3170.7,
Cooper Tire & Rubber Company,486,2002,3154.7,
Coventry Health Care Inc.,487,2002,3147.2,
Anixter International Inc.,488,2002,3144.2,
Union Planters Corporation,489,2002,3143.8,
"Armstrong Holdings, Inc.",490,2002,3135.4,
Equity Office Properties Trust,491,2002,3130.1,
Amazon.Com Inc.,492,2002,3122.4,
"Lennox International, Inc.",493,2002,3119.7,
"American Axle & Manufacturing Holdings, Inc.",494,2002,3107.2,
"C. H. Robinson Worldwide, Inc.",495,2002,3090.1,
"Kindred Healthcare, Inc.",496,2002,3081.4,
Devon Energy Corporation,497,2002,3075,
Sealed Air Corporation,498,2002,3067.5,
Hilton Hotels Corporation,499,2002,3050,
The New York Times Company,500,2002,3042.5,
"Wal-Mart Stores, Inc.",1,2003,246525,
General Motors Corporation,2,2003,186763,
Exxon Mobil Corporation,3,2003,182466,
Ford Motor Company,4,2003,163630,
General Electric Company,5,2003,131698,
"Citigroup, Inc.",6,2003,100789,
ChevronTexaco Corporation,7,2003,92043,
International Business Machines Corporation,8,2003,83132,
"American International Group,Inc.",9,2003,67722.8,
Verizon Communications Inc.,10,2003,67625,
"Altria Group, Inc.",11,2003,62182,
ConocoPhillips,12,2003,58394,
"The Home Depot, Inc.",13,2003,58247,
Hewlett-Packard Company,14,2003,56588,
The Boeing Company,15,2003,54069,
Fannie Mae,16,2003,52901.1,
"Merck & Co., Inc.",17,2003,51790.3,
The Kroger Company,18,2003,51759.5,
"Cardinal Health, Inc.",19,2003,51135.7,
McKesson Corporation,20,2003,50006,
State Farm Insurance Cos.,21,2003,49653.7,
AT&T,22,2003,46727,
Bank of America Corporation,23,2003,45732,
AmerisourceBergen Corp.,24,2003,45234.8,
Target Corporation,25,2003,43917,
J.P. Morgan Chase & Co.,26,2003,43372,
SBC Communications Inc.,27,2003,43138,
Berkshire Hathaway Inc.,28,2003,42353,
AOL Time Warner Inc.,29,2003,41780,
Sears Roebuck and Company,30,2003,41366,
The Procter & Gamble Company,31,2003,40238,
Freddie Mac,32,2003,39663,
Costco Wholesale Corporation,33,2003,38762.5,
Johnson & Johnson,34,2003,36298,
"Albertson's, Inc.",35,2003,35916,
Dell Computer Corporation,36,2003,35404,
Pfizer Inc.,37,2003,35281,
MetLife Inc.,38,2003,34055,
Kmart Corporation,39,2003,32765,
Morgan Stanley,40,2003,32415,
Safeway Inc.,41,2003,32399.2,
"J.C. Penney Company, Inc.",42,2003,32347,
"United Parcel Service, Inc.",43,2003,31272,
The Allstate Corporation,44,2003,29579,
Walgreen Co.,45,2003,28681.1,
Wells Fargo & Co.,46,2003,28473,
Microsoft Corporation,47,2003,28365,
"Merrill Lynch & Co., Inc.",48,2003,28253,
United Technologies Corporation,49,2003,28212,
"ConAgra Foods, Incorporated",50,2003,27629.6,
The Dow Chemical Company,51,2003,27609,
Marathon Oil Corporation,52,2003,27470,
Delphi Corporation,53,2003,27427,
Sprint Corporation,54,2003,27180,
Valero Energy Corp,55,2003,26976.3,
Lockheed Martin Corporation,56,2003,26806,
"Prudential Financial, Inc.",57,2003,26797,
Intel,58,2003,26764,
"Motorola, Inc.",59,2003,26679,
"Lowe's Companies, Inc.",60,2003,26490.9,
The Walt Disney Company,61,2003,25329,
"PepsiCo, Inc.",62,2003,25112,
"UnitedHealth Group, Incorporated",63,2003,25020,
International Paper Company,64,2003,24976,
New York Life Insurance Company,65,2003,24720.7,
Viacom Inc.,66,2003,24605.7,
E.I. du Pont de Nemours,67,2003,24522,
CVS Corporation,68,2003,24181.5,
American Express Company,69,2003,23807,
Wachovia Corp.,70,2003,23591,
Archer Daniels Midland Company,71,2003,23453.6,
"Tyson Foods, Inc.",72,2003,23367,
Sysco Corporation,73,2003,23350.5,
Georgia-Pacific Corporation,74,2003,23271,
"Goldman Sachs Group, Inc.",75,2003,22854,
"Ingram Micro, Inc.",76,2003,22459.3,
BellSouth Corporation,77,2003,22440,
Honeywell International Inc.,78,2003,22274,
Bank One Corporation,79,2003,22171,
Electronic Data Systems Corporation,80,2003,21782,
Supervalu Inc.,81,2003,20908.5,
"Alcoa, Inc.",82,2003,20618,
FedEx Corporation,83,2003,20607,
Massachusetts Mutual Life Insurance Company,84,2003,20247.1,
"Caterpillar, Inc.",85,2003,20152,
"Johnson Controls, Inc.",86,2003,20103.4,
CIGNA Corporation,87,2003,19915,
